"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",212168,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",8810,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",5008,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",14705,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",2251,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",42329,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",1843,,
"ITG","Isole","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",25010,,
"ITF","Sud","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",104643,,
"ITD","Nord-est","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",44199,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",7184,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",28996,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",476,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",35392,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",39098,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",9736,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",28416,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",7802,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",2954,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",24713,,
